ACTION START 1200 0 START
ACTION QUERY 1200 10 factors influencing when choosing a track for shs
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 68097525
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 136411056
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 108653435
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 155458387
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 33473369
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 154065447
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 17370991
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 66789356
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 126886612
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 17937761
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 9260808
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 3822790
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 16167981
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 70308907
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 4410455
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 143156493
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 138090113
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 9166752
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 131683086
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 48235162
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 135075156
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 135120596
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 5180207
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 126671344
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 140059588
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 16177006
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 4705728
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 72683814
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 17631879
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 98788704
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 19114793
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 2559562
ACTION QUERY 1200 121 senior high school track
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 19898849
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 68097525
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 70312761
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 133006840
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 126664155
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 160926274
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 127381738
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 154034974
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 141344473
