ACTION START 1200 0 START
ACTION QUERY 1200 10 social comparison with others
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 245803
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 47975640
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 138210594
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 148273166
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 14039069
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 69434846
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 37574673
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 24378716
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 127651541
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 62586092
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 126688563
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 120178768
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 56974751
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 2580261
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 2608875
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 5477283
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 5481002
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 11713115
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 154488809
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 26601719
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 8525846
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 138382798
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 123174268
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 23154098
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 78859578
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 152065391
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 8195476
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 80062953
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 98603524
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 5550522
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 18752811
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 46355401
ACTION QUERY 1200 121 What can be done to prevent social comparison with others?
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 44762839
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 47975640
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 69434846
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 37574673
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 127457402
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 62002487
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 27380337
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 77565784
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 143183613
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 26558864
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 138624357
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 122881775
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 127535004
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 56974751
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 2519935
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 147717802
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 138484083
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 2608875
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 2580261
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 43151426
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 55011967
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 52518355
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 126642733
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 125934481
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 62545427
