ACTION START 1200 0 START
ACTION QUERY 1200 10 students affect FABM subject
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 225362
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 41653096
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 41643816
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 135982522
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 128498290
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 144384182
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 159153782
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 2621290
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 10992573
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 131388317
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 132517261
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 129751384
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 142410639
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 132509964
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 10990160
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 122557388
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 13976105
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 130813582
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 3104863
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 42467923
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 19297592
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 75749624
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 158277419
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 62047219
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 10970200
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 122449098
