ACTION START 1200 0 START
ACTION QUERY 1200 10 chickfila customer service standards
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 123909841
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 10988623
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 58075322
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 10565813
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 23063757
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 45471371
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 30530408
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 135969717
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 136779281
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 2625258
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 71489533
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 7935048
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 44805372
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 14096596
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 10097249
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 39504902
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 63342616
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 164503050
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 2699009
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 164671135
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 2957842
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 2396612
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 2887319
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 24279456
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 2694370
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 2826949
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 135338674
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 70498094
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 16103121
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 151231210
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 138269191
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 115328236
ACTION QUERY 1200 121 Customer service
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 70444618
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 55250
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 70298357
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 121237408
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 153962904
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 156597859
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 155484529
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 97173211
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 155484746
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 7563467
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 48111510
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 128998408
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 2716863
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 67056518
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 71610805
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 43529479
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 2700243
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 128981239
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 132740773
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 132668348
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 19481966
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 28566471
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 30530408
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 10158075
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 122954895
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 38944368
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 2601880
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 132410988
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 9879461
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 126759315
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 156948263
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 74726534
ACTION QUERY 1200 232 Why is public opinion on customer service standards?
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 123909841
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 44805372
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 134148770
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 20689017
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 135338674
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 77508809
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 63184956
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 140272155
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 136025882
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 123897677
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 4856371
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 2611380
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 57165676
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 2855170
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 126918147
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 33411976
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 155484529
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 26259292
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 10988623
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 151502155
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 8311353
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 40167273
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 58075322
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 109780419
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 38647229
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 148533784
