ACTION START 1200 0 START
ACTION QUERY 1200 10 Personal struggles of humss students
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 85270684
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 158150674
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 99167818
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 158150748
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 86831536
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 77887702
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 68034300
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 126963825
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 52084050
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 85868069
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 150449774
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 155607438
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 9075076
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 133086446
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 45251843
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 125905691
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 141097484
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 139996937
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 67889354
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 150236630
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 63341727
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 125772285
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 97961489
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 30667917
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 155647174
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 152981339
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 85164355
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 153336868
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 149887343
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 159473507
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 148547570
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 44991068
ACTION QUERY 1200 121 role of personal struggles in shaping motivation of grade 11 humss motivation make ir academic motivation 
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 130785999
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 17128662
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 5257345
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 152445130
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 63219390
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 44757823
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 9853470
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 126976202
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 70355563
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 95267501
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 62450296
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 154017756
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 40858474
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 11296062
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 156100982
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 9464543
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 69315824
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 154121297
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 165115143
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 63306651
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 31269109
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 147795216
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 17701882
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 69792448
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 138604534
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 158150748
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 17701849
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 68557836
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 160777694
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 48048896
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 154915826
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 69196146
ACTION QUERY 1200 232 Personal struggles faced HUMSS STUDENTS
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 158150748
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 86831536
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 85270684
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 126963825
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 158150674
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 52084050
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 99167818
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 63341727
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 85164355
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 45251843
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 148547570
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 155647174
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 155607438
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 108418600
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 125772285
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 77887702
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 144831431
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 73712658
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 68034300
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 153837473
