ACTION START 1200 0 START
ACTION QUERY 1200 10 celebrity gender variable
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 132847565
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 159481750
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 150463086
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 8319442
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 143760
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 70354955
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 159490054
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 10432206
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 54935615
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 150983853
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 145383599
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 126779937
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 63001654
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 122525854
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 19882742
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 15032218
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 70298271
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 8735400
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 154022657
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 78827710
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 160165264
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 18721247
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 128434732
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 126204693
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 157817550
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 144982514
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 160655955
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 145600181
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 138659417
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 140494193
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 67051992
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 4528406
ACTION QUERY 1200 121 The Effectiveness of Celebrity Endorsements in Decision Making of Customers
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 113694900
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 121214288
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 146349081
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 126204693
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 160712067
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 150245426
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 70298271
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 160193735
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 159298105
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 47798532
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 70354955
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 131426080
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 11926013
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 121315726
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 152348358
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 122525854
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 160935376
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 160815525
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 74631663
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 160713236
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 148552683
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 70299820
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 160138670
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 67464479
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 135625219
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 8319442
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 17806641
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 74758547
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 160138671
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 62532483
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 2468709
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 136009814
ACTION QUERY 1200 232 gender in celebrity culture
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 132847565
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 143760
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 63001654
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 159481750
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 124504548
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 150463086
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 50063490
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 2265524
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 9087200
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 158122868
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 8111238
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 61143791
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 24103964
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 163024689
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 95398481
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 148504978
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 70354955
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 84380906
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 137625983
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 43155447
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 10432206
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 120148435
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 150983853
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 145383599
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 163039536
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 33432747
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 131065709
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 146873679
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 132116639
