ACTION START 2000 0 START
ACTION QUERY 2000 10 effects of media literacy on learning experience 
ACTION SERP 2000 15 EXAMINE_SERP
ACTION SNIPPET 2000 18 SNIPPET_NOT_RELEVANT 11465251
ACTION SNIPPET 2000 21 SNIPPET_NOT_RELEVANT 141749335
ACTION SNIPPET 2000 24 SNIPPET_NOT_RELEVANT 146530739
ACTION SNIPPET 2000 27 SNIPPET_NOT_RELEVANT 155487586
ACTION SNIPPET 2000 30 SNIPPET_NOT_RELEVANT 18967773
ACTION SNIPPET 2000 33 SNIPPET_NOT_RELEVANT 153116660
ACTION SNIPPET 2000 36 SNIPPET_NOT_RELEVANT 153522542
ACTION SNIPPET 2000 39 SNIPPET_NOT_RELEVANT 128755948
ACTION SNIPPET 2000 42 SNIPPET_NOT_RELEVANT 160772354
ACTION SNIPPET 2000 45 SNIPPET_NOT_RELEVANT 153696143
ACTION SNIPPET 2000 48 SNIPPET_NOT_RELEVANT 160656634
ACTION SNIPPET 2000 51 SNIPPET_NOT_RELEVANT 150233523
ACTION SNIPPET 2000 54 SNIPPET_NOT_RELEVANT 6958306
ACTION SNIPPET 2000 57 SNIPPET_NOT_RELEVANT 156598636
ACTION SNIPPET 2000 60 SNIPPET_NOT_RELEVANT 48211319
ACTION SNIPPET 2000 63 SNIPPET_NOT_RELEVANT 153537154
ACTION SNIPPET 2000 66 SNIPPET_NOT_RELEVANT 152245998
ACTION SNIPPET 2000 69 SNIPPET_NOT_RELEVANT 150486936
ACTION SNIPPET 2000 72 SNIPPET_NOT_RELEVANT 160825529
ACTION SNIPPET 2000 75 SNIPPET_NOT_RELEVANT 130431490
ACTION SNIPPET 2000 78 SNIPPET_NOT_RELEVANT 127041280
ACTION SNIPPET 2000 81 SNIPPET_NOT_RELEVANT 148415035
ACTION SNIPPET 2000 84 SNIPPET_NOT_RELEVANT 136676738
ACTION SNIPPET 2000 87 SNIPPET_NOT_RELEVANT 99067735
ACTION SNIPPET 2000 90 SNIPPET_NOT_RELEVANT 143434460
ACTION SNIPPET 2000 93 SNIPPET_NOT_RELEVANT 19510211
ACTION SNIPPET 2000 96 SNIPPET_NOT_RELEVANT 4762625
ACTION SNIPPET 2000 99 SNIPPET_NOT_RELEVANT 127132409
ACTION SNIPPET 2000 102 SNIPPET_NOT_RELEVANT 9464412
