ACTION START 1200 0 START
ACTION QUERY 1200 10 effects of media literacy on learning experience 
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 10996218
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 155446828
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 160948053
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 142077647
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 146530739
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 18967773
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 153116660
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 150233523
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 8475879
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 6958306
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 122413761
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 148410527
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 85384644
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 126445827
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 63374441
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 157739062
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 127041280
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 153722329
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 34006961
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 160957845
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 4762625
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 159300675
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 162338160
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 9932984
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 85664442
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 153895336
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 147703260
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 129397109
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 149879060
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 156462828
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 44759354
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 31614868
ACTION QUERY 1200 121 media literacy skills
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 84628214
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 45587779
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 153245377
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 155446828
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 62323511
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 31614868
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 122413761
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 63374441
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 126958714
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 263004
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 128336629
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 31200005
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 30555161
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 146530739
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 154037457
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 153690441
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 40554944
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 164822176
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 157824701
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 18967773
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 85640026
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 4762625
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 85384644
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 127238737
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 156462828
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 122312882
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 160948053
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 126445827
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 43469067
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 85852817
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 157739062
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 160947440
ACTION QUERY 1200 232 impact of media literacy on learning experience 
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 18967773
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 155446828
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 146530739
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 10996218
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 142077647
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 127041280
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 153722329
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 6958306
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 36998851
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 153116660
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 8475879
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 160948053
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 130786259
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 30345982
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 63374441
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 85384644
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 40554944
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 34006961
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 159300675
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 159072539
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 150233523
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 109889323
