ACTION START 1200 0 START
ACTION QUERY 1200 10 education major problems to ojt
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 268609
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 122692612
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 80245494
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 129767807
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 152045033
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 128887816
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 122442939
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 122560602
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 6957746
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 22058027
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 21327891
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 11713016
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 133356952
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 45588517
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 142565112
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 74385828
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 62531348
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 151015394
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 83947792
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 7400967
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 66744547
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 47149474
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 66660009
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 46211202
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 129737137
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 70312124
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 11896269
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 150069189
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 9076022
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 8360015
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 57562209
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 8858335
ACTION QUERY 1200 121 education major undergraduate problems 
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 85633865
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 24967016
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 151015394
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 8002784
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 70336894
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 136053492
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 2384268
