ACTION START 1200 0 START
ACTION QUERY 1200 10 Cabo Delgado port
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 143280921
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 158895903
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 151719475
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 125203665
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 156844631
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 46355445
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 8092031
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 77515902
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 9830038
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 126372878
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 161329377
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 46595190
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 46622435
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 46622504
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 39402746
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 27774768
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 27989114
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 162513077
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 14279598
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 57929672
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 62825758
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 46762483
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 22391942
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 138939478
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 155338877
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 45134763
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 90068704
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 40398238
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 138096144
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 44975613
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 121373696
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 115573405
ACTION QUERY 1200 121 What does Cabo Delgado port affect people in different regions?
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 143280921
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 158895903
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 125203665
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 77515902
